Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-05,127.0,133.35,127.0,133.35,1855000,ST,806,2301.49,1855000
2026-03-06,140.0,140.0,140.0,140.0,22000,ST,15,1466.67,22000
2026-03-09,133.0,139.7,133.0,135.0,369000,ST,185,1994.59,311000
2026-03-10,133.0,141.75,132.9,141.75,141000,ST,97,1453.61,131000
2026-03-11,144.8,148.8,144.8,147.65,428000,ST,183,2338.8,416000
2026-03-12,147.0,149.9,140.3,147.0,50000,ST,47,1063.83,48000
2026-03-13,147.0,149.0,139.65,139.65,39000,ST,27,1444.44,37000
2026-03-16,139.65,143.2,135.0,142.6,40000,ST,23,1739.13,38000
2026-03-17,143.2,146.9,141.9,144.95,34000,ST,23,1478.26,34000
2026-03-18,147.5,152.15,147.0,147.0,126000,ST,96,1312.5,122000
2026-03-19,147.0,155.0,140.25,141.15,61000,SM,59,1033.9,43000
2026-03-20,145.0,150.0,145.0,146.5,32000,SM,28,1142.86,21000
